post_title,post_date,comment_id,comment_parent,comment_author,comment_date,comment_content
"Testovací téma","2016-08-31 10:45:10",21,0,Admin,"2016-09-02 14:06:17",fawef
"Testovací téma","2016-08-31 10:45:10",20,0,Admin,"2016-09-02 14:06:04",rgarg
"Testovací téma","2016-08-31 10:45:10",19,0,Admin,"2016-09-02 14:05:57",gawreg
"Testovací téma","2016-08-31 10:45:10",18,0,Admin,"2016-09-02 14:05:50","dsag ag"
"Testovací téma","2016-08-31 10:45:10",17,0,Admin,"2016-09-02 14:05:44","dsaf a"
"Testovací téma","2016-08-31 10:45:10",16,0,Admin,"2016-09-02 14:05:39","tes 2"
"Testovací téma","2016-08-31 10:45:10",15,0,Admin,"2016-09-02 14:05:33",test1
"Testovací téma","2016-08-31 10:45:10",14,0,Admin,"2016-09-02 13:37:48",wtf
"Testovací téma","2016-08-31 10:45:10",13,0,Admin,"2016-08-31 19:19:37",test
"Testovací téma","2016-08-31 10:45:10",12,0,Admin,"2016-08-31 14:31:30",HEllo
"Testovací téma","2016-08-31 10:45:10",11,10,HonzaK,"2016-08-31 10:51:19","Měli byste to opravit!"
"Testovací téma","2016-08-31 10:45:10",10,0,HonzaK,"2016-08-31 10:47:30","V ovládání přehrávače chybí ikony play/stop, hlasitost a celá obrazovka."
"Testovací téma","2016-08-15 16:13:33",9,0,Test1,"2016-08-22 12:29:15",adasd
"Testovací téma","2016-08-15 16:13:33",8,0,Admin,"2016-08-21 09:12:49",hello
"Testovací téma","2016-08-15 16:13:33",7,0,Admin,"2016-08-15 17:05:12",osm
"Testovací téma","2016-08-15 16:13:33",6,0,Admin,"2016-08-15 17:05:03",sest
"Testovací téma","2016-08-15 16:13:33",5,0,Admin,"2016-08-15 17:04:58",pet
"Testovací téma","2016-08-15 16:13:33",4,0,Admin,"2016-08-15 17:04:54",ctyri
"Testovací téma","2016-08-15 16:13:33",3,0,Admin,"2016-08-15 17:04:49",tri
"Testovací téma","2016-08-15 16:13:33",2,0,Admin,"2016-08-15 17:04:45",dva
"Testovací téma","2016-08-15 16:13:33",1,0,Admin,"2016-08-15 17:04:41",jedna
